Release 14.7 - par P.20131013 (lin64)
Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

Wed Jun 28 00:30:49 2017


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       BRAM_TEST_map.ncd
OUTPUT FILE:      BRAM_TEST_pad.txt
PART TYPE:        xc6slx45
SPEED GRADE:      -2
PACKAGE:          csg324

Pinout by Pin Number:

+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name            |Pin Usage|Pin Name                     |Direction|IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage|Constraint|IO Register|Signal Integrity|
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|A1        |                       |         |GND                          |         |           |              |          |         |           |         |       |          |           |                |
|A2        |                       |IOBS     |IO_L2N_0                     |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|A3        |                       |IOBS     |IO_L4N_0                     |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|A4        |                       |IOBS     |IO_L5N_0                     |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|A5        |                       |IOBS     |IO_L6N_0                     |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|A6        |                       |IOBS     |IO_L8N_VREF_0                |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|A7        |                       |IOBS     |IO_L10N_0                    |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|A8        |                       |IOBS     |IO_L33N_0                    |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|A9        |                       |IOBS     |IO_L35N_GCLK16_0             |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|A10       |ctrlSw<0>              |IOB      |IO_L37N_GCLK12_0             |INPUT    |LVCMOS25*  |0             |          |         |           |NONE     |       |LOCATED   |NO         |NONE            |
|A11       |                       |IOBS     |IO_L39N_0                    |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|A12       |                       |IOBS     |IO_L41N_0                    |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
